CURVEINSTANCEDATE,CURVENAME,CURVEINSTANCETYPE,CURVEDATASOURCE,RATEFORMCODE,INSTRUMENTTYPE,INSTRUMENTNAME,TENORNAME,EXTERNALLOOKUPKEY,ISSELECTED,RATEBID,RATEMID,RATEASK,LASTUPDATE,DATEOFFSET,SETTLEMENTDAYLAG,COMPOUNDINGTYPE,DAYCOUNTCODE,CALENDARNAME,INSTRUMENTCURRENCY,DATEROLLMETHODNAME,CURVETYPE,TERMINDAYS,CURVEVALUATIONDATE,INSTRUMENTID,CURVEINSTANCEID,CURVEVERSION,RATEFORMID,CURVEID,UNDERLYINGDATADATE,UNDERLYINGCREATEDTIME,PROCESS_DATE,PROCESS_TIMESTAMP,SOURCE_FILENAME,SOURCE,CREATED_BY,INGESTION_TS
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Cash,3m.CAD_Public_A,3m,3m,true,null,0.00444357,null,2025-11-10T09:11:37.66Z,null,0,Annual,Act/365,TRB,CAD,MODFOLLOWING,CreditSpread,90,null,1028,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Cash,6m.CAD_Public_A,6m,6m,true,null,0.00444357,null,2025-11-10T09:11:37.66Z,null,0,Annual,Act/365,TRB,CAD,MODFOLLOWING,CreditSpread,180,null,1029,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Cash,1y.CAD_Public_A,1y,1y,true,null,0.00444357,null,2025-11-10T09:11:37.66Z,null,0,Annual,Act/365,TRB,CAD,MODFOLLOWING,CreditSpread,360,null,1030,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Bond,2y.CAD_Public_A,2y,2y,true,null,0.00511130,null,2025-11-10T09:11:37.66Z,null,1,Semi Annual,Act/Act,TRB,CAD,MODFOLLOWING,CreditSpread,720,null,1031,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Bond,3y.CAD_Public_A,3y,3y,true,null,0.00585235,null,2025-11-10T09:11:37.66Z,null,1,Semi Annual,Act/Act,TRB,CAD,MODFOLLOWING,CreditSpread,1080,null,1032,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Bond,5y.CAD_Public_A,5y,5y,true,null,0.00718648,null,2025-11-10T09:11:37.66Z,null,1,Semi Annual,Act/Act,TRB,CAD,MODFOLLOWING,CreditSpread,1800,null,1033,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Bond,7y.CAD_Public_A,7y,7y,true,null,0.00829086,null,2025-11-10T09:11:37.66Z,null,1,Semi Annual,Act/Act,TRB,CAD,MODFOLLOWING,CreditSpread,2520,null,1034,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Bond,10y.CAD_Public_A,10y,10y,true,null,0.00958367,null,2025-11-10T09:11:37.66Z,null,1,Semi Annual,Act/Act,TRB,CAD,MODFOLLOWING,CreditSpread,3600,null,1035,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Bond,20y.CAD_Public_A,20y,20y,true,null,0.01161102,null,2025-11-10T09:11:37.66Z,null,1,Semi Annual,Act/Act,TRB,CAD,MODFOLLOWING,CreditSpread,7200,null,1036,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
2025-11-03,CAD_Public_A,EOD,ALM,Spread,Bond,30y.CAD_Public_A,30y,30y,true,null,0.01106712,null,2025-11-10T09:11:37.66Z,null,1,Semi Annual,Act/Act,TRB,CAD,MODFOLLOWING,CreditSpread,10800,null,1037,6576696,1,2,68,2025-10-31,2025-11-10T09:02:59.813Z,2026-02-10,2026-02-10T13:44:52.901Z,vcurvealmcorprates.csv,gwam_dev_ds.inv_ga_typed.alm_curvealmcorprates | Slice: 2025-11-04 15:02:07.470000 to 2026-02-10 16:45:21.593000,ADB,2026-03-10T12:45:00.895159Z
